"X1","X2","n","Sample_real","quantile_99_9","real_n"
459,"eae111",1,"V_cholera_1",23.7304952007239,NA
459,"uidA616",15,"V_cholera_1",51.0816207588305,NA
459,"mcr64",11,"V_cholera_1",89.7884189932358,NA
459,"stx11581",2,"V_cholera_1",41.8241822416477,NA
459,"aac6I123",2,"V_cholera_1",11.3437589734004,NA
459,"aac3II63",2,"V_cholera_1",3.768131939875,NA
459,"dfrA1",3,"V_cholera_1",171.576934043566,NA
459,"aac6I6",3,"V_cholera_1",24.2770971057034,NA
459,"aggR11",2,"V_cholera_1",41.2496354721484,NA
459,"Tsp19",3,"V_cholera_1",21.8678047948649,NA
459,"bfpF56",1,"V_cholera_1",2.97627866533694,NA
459,"aaiC47",1,"V_cholera_1",13.6202465566286,NA
460,"dfrA15",8273,"V_cholera_2",45044.3140768821,NA
460,"dfrA58",208,"V_cholera_2",570.011106605434,NA
460,"qnrB7",768,"V_cholera_2",3932.28470087176,NA
460,"dfrA243",548,"V_cholera_2",3059.13029908572,NA
460,"aph6I29",759,"V_cholera_2",1564.71149082057,NA
460,"dfrA369",159,"V_cholera_2",8679.36043701556,NA
460,"sul336",70,"V_cholera_2",651.156032356883,NA
460,"mcr28",68,"V_cholera_2",3302.48592248652,NA
460,"sul15",133,"V_cholera_2",406.852140513735,NA
460,"invE132",131,"V_cholera_2",1873.07522286973,NA
460,"tetA13",115,"V_cholera_2",179.496739852089,NA
460,"ipaH921",257,"V_cholera_2",892.457127114583,NA
460,"chuA24",40,"V_cholera_2",120.880769045547,NA
460,"tetM34",2,"V_cholera_2",19.905700783891,NA
460,"stx23291",10,"V_cholera_2",78.4426543581793,NA
460,"aac3VI23",35,"V_cholera_2",43.3275644759138,NA
460,"eltA73",25,"V_cholera_2",100.946481015484,NA
460,"eae6271",32,"V_cholera_2",513.949347429163,NA
460,"uidA616",12,"V_cholera_2",51.0816207588305,NA
460,"ant2Ia1",69,"V_cholera_2",225.708178159779,NA
460,"bfpA82",169,"V_cholera_2",1344.94106231646,NA
460,"sul22",27,"V_cholera_2",234.331413109493,NA
460,"gadph195",23,"V_cholera_2",105.058327370762,NA
