X2,n,Sample_real,quantile_99_9,real_n,wgs
dfrA1,5,51_1,37.39168884,NA,t
ipaH321,5,53_1,17.75498553,NA,t
stx11581,5,zSet2Negative_1,7.326157585,NA,t
mcr64,5,zSet2Negative_1,12.80598684,NA,t
mphA18,5,56_1,23.02436054,NA,t
aac6I6,5,57_1,21.79552529,NA,t
aap223,5,59_1,2.671538199,2.328461801,n
aac6I6,5,60_1,21.79552529,NA,t
stx2181,5,61_1,14.58952727,NA,t
stx2181,5,64_1,14.58952727,NA,t
aadA1,5,65_1,5.729389182,NA,t
aggR11,5,65_1,1,4,n
astA13,5,65_1,15.58254854,NA,t
dfrA1,5,68_1,37.39168884,NA,t
astA13,5,69_1,15.58254854,NA,t
mcr64,5,69_1,12.80598684,NA,t
stx2181,5,69_1,14.58952727,NA,t
stx1301,5,zSet2Negative_3,122.8886781,NA,t
yjaA12,5,zSet2Negative_3,75.05504254,NA,t
aac3VI23,5,zSet2Negative_3,81.70276707,NA,t
trpA354,5,zSet2Negative_3,75.21494574,NA,t
gadph195,5,72_1,51.83009619,NA,t
uidA160,5,75_1,3.925389628,1.074610372,n
eltA73,5,75_1,36.22578755,NA,t
yjaA12,5,77_1,75.05504254,NA,t
aadA57,5,77_1,23.95903573,NA,t
mphA18,5,77_1,23.02436054,NA,t
mcr64,5,zSet2Negative_4,12.80598684,NA,t
stx2181,5,zSet2Negative_4,14.58952727,NA,t
arpA19,5,48_2,1,4,y
gadph195,5,48_2,51.83009619,NA,t
aac3VI23,5,48_2,81.70276707,NA,t
