X1,X2,n
469,aac6I6,1
469,tetM34,1
469,stx11581,2
469,stx2181,1
470,aadA57,9
470,aac6I6,336
470,dfrA15,7682
470,dfrA243,956
470,qnrB7,800
470,aph6I29,1569
470,ipaH921,243
470,aac6I123,502
470,aac3II63,677
470,mcr28,147
470,dfrA369,209
470,sul15,128
470,intI125,512
470,dfrA58,200
470,tetA13,1324
470,gadph195,290
470,sul22,218
470,bfpA82,193
470,invE132,152
470,stx1301,43
470,eae6271,31
470,sul336,95
470,stx2181,6
470,stx23291,17
470,aac3VI23,34
470,yjaA12,26
470,uidA616,14
470,eltA73,17
470,trpA354,25
470,tetB43,22
470,chuA24,19
470,ant2Ia1,60
470,mcr64,6
470,ipaH321,12
470,stx11581,3
470,tetM34,2
470,Tsp19,4
470,eae111,1
470,aadA1,2
470,aggR11,2
470,astA13,2
470,mphA18,2
470,dfrA1,3
470,qnrS1,1
470,aaiC17,1
470,bfpF56,1
471,aph6I29,880
471,dfrA15,4947
471,dfrA243,591
471,dfrA369,158
471,qnrB7,508
471,aac3II63,314
471,gadph195,158
471,sul15,98
471,aac3VI23,15
471,bfpA82,118
471,aac6I6,144
471,aadA57,6
471,aac6I123,279
471,tetB43,13
471,mcr28,122
471,intI125,273
471,tetA13,860
471,sul22,154
471,trpA354,8
471,sul336,64
471,bfpF56,1
471,dfrA58,129
471,ipaH921,117
471,ipaH321,7
471,invE132,85
471,chuA24,22
471,ant2Ia1,54
471,aggR11,1
471,eae6271,30
471,yjaA12,18
471,dfrA1,1
471,stx1301,30
471,aaiC17,3
471,tetM34,1
471,mcr64,8
471,aap223,3
471,uidA616,9
471,eltA73,2
471,eltA4510,1
471,stx23291,6
471,Tsp19,2
471,stx11581,1
472,dfrA15,7636
472,aph6I29,602
472,qnrB7,859
472,invE132,161
472,dfrA243,596
472,yjaA12,22
472,uidA616,480
472,uidA160,223
472,sul22,24
472,chuA24,363
472,aaiC17,133
472,Tsp19,2
472,sul15,181
472,ipaH921,174
472,dfrA58,178
472,mcr28,226
472,stx1301,57
472,bfpA82,200
472,stx11581,4
472,ant2Ia1,55
472,aadA57,77
472,sul336,108
472,aac6I123,23
472,dfrA369,368
472,trpA354,181
472,mphA18,88
472,tetA13,93
472,qnrS1,53
472,stx23291,8
472,gadph195,17
472,eae6271,56
472,arpA19,89
472,dfrA1,7
472,mcr64,5
472,eltA73,14
472,ipaH321,5
472,aac3VI23,13
472,tetB43,20
